,title,venue,pages,year,type,access,doi
185,Off-policy Learning in Two-stage Recommender Systems.,WWW,463-473,2020,Conference and Workshop Papers,closed,10.1145/3366423.3380130
186,A Pattern-Oriented Approach for Supporting ETL Conceptual Modelling and Its YAWL-based Implementation.,DATA,408-415,2014,Conference and Workshop Papers,unavailable,
187,User Preferences When Searching Individual and Integrated Full-Text Databases.,ACM DL,195-203,1999,Conference and Workshop Papers,closed,10.1145/313238.313307
188,Characterizing and Mitigating the Impact of Data Imbalance for Stakeholders in Recommender Systems.,RecSys,756-757,2020,Conference and Workshop Papers,closed,10.1145/3383313.3411454
189,Trust-based collaborative filtering: tackling the cold start problem using regular equivalence.,RecSys,446-450,2018,Conference and Workshop Papers,closed,10.1145/3240323.3240404
190,ERMMA: Expected Risk Minimization for Matrix Approximation-based Recommender Systems.,AAAI,1403-1409,2017,Conference and Workshop Papers,open,10.1609/AAAI.V31I1.10743
191,EMPIRE 2015: Workshop on Emotions and Personality in Personalized Systems.,RecSys,343-344,2015,Conference and Workshop Papers,closed,
192,An Analysis of Citation Recommender Systems: Beyond the Obvious.,ASONAM,216-223,2017,Conference and Workshop Papers,closed,10.1145/3110025.3110150
193,Branching Preferences: Visualizing Non-linear Topic Progression in Conversational Recommender Systems.,UMAP,199-205,2023,Conference and Workshop Papers,closed,10.1145/3563359.3597380
194,Sentiment Polarity Extension for Context-Sensitive Recommender Systems .,KDIR,126-137,2014,Conference and Workshop Papers,closed,10.5220/0005141101260137
195,Towards Handling Unconstrained User Preferences in Dialogue.,IWSDS,83-97,2021,Conference and Workshop Papers,closed,10.1007/978-981-19-5538-9_6
196,Learning Agent for a Service-Oriented Context-Aware Recommender System in Heterogeneous Environment.,Comput. Informatics,1005-1026,2016,Journal Articles,open,
197,Quaternion Collaborative Filtering for Recommendation.,IJCAI,4313-4319,2019,Conference and Workshop Papers,open,10.24963/IJCAI.2019/599
198,IP2 Model - Content Recommendation in Web-Based Educational Systems Using User's Interests and Preferences and Resources' Popularity.,COMPSAC,460-463,2008,Conference and Workshop Papers,closed,10.1109/COMPSAC.2008.198
199,Towards generic Service Management Concepts - A Service Model Based Approach.,Integrated Network Management,719-732,2001,Conference and Workshop Papers,closed,10.1109/INM.2001.918076
200,Serendipity in Recommender Systems Beyond the Algorithm: a Feature Repository and Experimental Design.,IntRS@RecSys,46-66,2022,Conference and Workshop Papers,open,
201,Recommender Systems based on Personality Traits. (Système de Recommendation basé sur Traits de Personnalité).,,,2008,Books and Theses,open,
202,Comparing the Performance of Multiple Small-Data Personalized Tacrolimus Dosing Models for Pediatric Liver Transplant: A Retrospective Study.,EMBC,1-4,2023,Conference and Workshop Papers,closed,10.1109/EMBC40787.2023.10341002
203,Exploring Entity-level User Preference on the Knowledge Graph for Recommender System.,ACAI,44:1-44:7,2022,Conference and Workshop Papers,closed,10.1145/3579654.3579701
204,A Hybrid Book Recommender System Based on Table of Contents (ToC) and Association Rule Mining.,INFOS,68-74,2016,Conference and Workshop Papers,closed,10.1145/2908446.2908481
205,A Collaborative Filtering Recommendation System Combining Semantics and Bayesian Reasoning.,AusDM,191-198,2012,Conference and Workshop Papers,closed,
206,Towards Seed-Free Music Playlist Generation: Enhancing Collaborative Filtering with Playlist Title Information.,RecSys Challenge,14:1-14:6,2018,Conference and Workshop Papers,closed,10.1145/3267471.3267485
207,Parallel pairwise learning to rank for collaborative filtering.,Concurr. Comput. Pract. Exp.,,2019,Journal Articles,closed,10.1002/CPE.5141
208,MyMovieHistory: Social Recommender System by Discovering Social Affinities Among Users.,Cybern. Syst.,88-110,2016,Journal Articles,closed,10.1080/01969722.2016.1128771
209,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights.,ICDM,43-52,2007,Conference and Workshop Papers,closed,10.1109/ICDM.2007.90
210,"Recommender Systems, Semantic-Based.",Encyclopedia of Social Network Analysis and Mining,1501-1510,2014,Reference Works,closed,10.1007/978-1-4614-6170-8_116
211,CBR for CBR: A Case-Based Template Recommender System for Building Case-Based Systems.,ECCBR,459-473,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-85502-6_31
212,Secure Data Integration: A Formal Concept Analysis Based Approach.,DEXA,326-333,2014,Conference and Workshop Papers,closed,10.1007/978-3-319-10085-2_30
213,On the Role of Clustering in Personalized PageRank Estimation.,ACM Trans. Model. Perform. Evaluation Comput. Syst.,21:1-21:33,2019,Journal Articles,closed,10.1145/3366635
214,A Collaborative Filtering Approach to Real-Time Hand Pose Estimation.,ICCV,2336-2344,2015,Conference and Workshop Papers,closed,10.1109/ICCV.2015.269
215,Long-run User Value Optimization in Recommender Systems through Content Creation Modeling.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2204.11421
216,Do Social Explanations Work? Studying and Modeling the Effects of Social Explanations in Recommender Systems,CoRR,,2013,Informal and Other Publications,open,
217,Predicting User Preferences via Heterogeneous Information Network and Metric Learning.,KSEM,656-665,2021,Conference and Workshop Papers,closed,10.1007/978-3-030-82136-4_53
218,Towards a Spatio-Temporal Agent-Based Recommender System.,AAMAS,1664-1666,2017,Conference and Workshop Papers,closed,
219,A hybrid music recommendation method based on music genes and collaborative filtering.,DASC/PiCom/CBDCom/CyberSciTech,1-6,2022,Conference and Workshop Papers,closed,10.1109/DASC/PICOM/CBDCOM/CY55231.2022.9927924
220,Ontology Based Personalized Modeling for Chronic Disease Risk Analysis: An Integrated Approach.,ICONIP,1204-1210,2008,Conference and Workshop Papers,closed,10.1007/978-3-642-02490-0_146
221,Planning PBL in Computing Education An Approach Based on a Collaborative Toolkit.,FIE,1-9,2018,Conference and Workshop Papers,closed,10.1109/FIE.2018.8658584
222,A Web service QoS prediction approach based on time- and location-aware collaborative filtering.,Serv. Oriented Comput. Appl.,135-149,2016,Journal Articles,closed,10.1007/S11761-014-0168-4
223,Adapting meta information retrieval to user preferences and document features.,HCI,604-608,1999,Conference and Workshop Papers,unavailable,
224,Kernelized probabilistic matrix factorization for collaborative filtering: exploiting projected user and item graph.,RecSys,437-440,2018,Conference and Workshop Papers,closed,10.1145/3240323.3240402
225,An Approach for Semantic Web Query Approximation Based on Domain Knowledge and User Preferences.,CSICC,443-452,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-89985-3_55
226,Knowledge-Guided Disentangled Representation Learning for Recommender Systems.,ACM Trans. Inf. Syst.,6:1-6:26,2022,Journal Articles,closed,10.1145/3464304
227,An integrated approach to collaborative decision making using computer-supported conflict management methodology.,IRI,182-191,2005,Conference and Workshop Papers,closed,10.1109/IRI-05.2005.1506471
228,Collaborative Adaptive Filtering Approach for the Identification of Complex-Valued Improper Signals.,Circuits Syst. Signal Process.,3860-3879,2019,Journal Articles,closed,10.1007/S00034-019-01034-Z
229,A feature-based approach towards an integrated product model including conceptual design information.,Comput. Aided Des.,877-887,2000,Journal Articles,closed,10.1016/S0010-4485(00)00076-2
230,Harvesting User-Generated Picture Metadata to Understand Destination Similarity.,J. Inf. Technol. Tour.,341-351,2011,Journal Articles,closed,10.3727/109830512X13364362859948
231,"Joint Aspect Discovery, Sentiment Classification, Aspect-Level Ratings and Weights Approximation for Recommender Systems by Rating Supervised Latent Topic Model.",J. Adv. Comput. Intell. Intell. Informatics,17-26,2018,Journal Articles,open,10.20965/JACIII.2018.P0017
232,Semantic Coherence-based User Profile Modeling in the Recommender Systems Context.,KDIR,154-161,2014,Conference and Workshop Papers,closed,10.5220/0005041401540161
233,PARS: Peers-aware Recommender System.,WWW,2606-2612,2020,Conference and Workshop Papers,closed,10.1145/3366423.3380013
234,Using Genre Interest of Users to Detect Profile Injection Attacks in Movie Recommender Systems.,ICMLA,49-52,2011,Conference and Workshop Papers,closed,10.1109/ICMLA.2011.151
235,Less Can Be More: Exploring Population Rating Dispositions with Partitioned Models in Recommender Systems.,UMAP,291-295,2023,Conference and Workshop Papers,closed,10.1145/3563359.3597390
236,Knowledge-based System Development with Scripting Technology: A Recommender System Example.,SEKE,405-416,2008,Conference and Workshop Papers,unavailable,
237,Topic model-based recommender systems and their applications to cold-start problems.,Expert Syst. Appl.,117129,2022,Journal Articles,closed,10.1016/J.ESWA.2022.117129
238,Developing a Human-Centered Framework for Transparency in Fairness-Aware Recommender Systems.,RecSys,737-738,2022,Conference and Workshop Papers,closed,10.1145/3523227.3547428
239,Applying multi-view based metadata in personalized ranking for recommender systems.,SAC,1105-1107,2015,Conference and Workshop Papers,closed,10.1145/2695664.2695955
240,Memory Priming and User Preferences.,RecSys Posters,,2016,Conference and Workshop Papers,open,
241,An approach to hybrid personalized recommender systems.,INISTA,1-8,2016,Conference and Workshop Papers,closed,10.1109/INISTA.2016.7571865
242,A Collaborative Filtering Algorithm Based on User Activity Level.,BIFE,80-83,2012,Conference and Workshop Papers,closed,10.1109/BIFE.2012.25
243,Ubiquitous Interactions for Heads-Up Computing: Understanding Users' Preferences for Subtle Interaction Techniques in Everyday Settings.,MobileHCI,36:1-36:15,2021,Conference and Workshop Papers,closed,10.1145/3447526.3472035
244,CroRank: Cross Domain Personalized Transfer Ranking for Collaborative Filtering.,ICDM Workshops,1204-1212,2015,Conference and Workshop Papers,closed,10.1109/ICDMW.2015.46
245,Collaborative Filtering Using Orthogonal Nonnegative Matrix Tri-factorization.,ICDM Workshops,303-308,2007,Conference and Workshop Papers,closed,10.1109/ICDMW.2007.18
246,Novel Collaborative Filtering Recommender Friendly to Privacy Protection.,IJCAI,4809-4815,2019,Conference and Workshop Papers,open,10.24963/IJCAI.2019/668
247,An Ontology based Approach for Assisting Conceptualisation in CAD Processes.,KEOD,272-279,2014,Conference and Workshop Papers,closed,10.5220/0005080902720279
248,Joint Locality Preservation and Adaptive Combination for Graph Collaborative Filtering.,DASFAA,183-198,2022,Conference and Workshop Papers,closed,10.1007/978-3-031-00126-0_12
249,MMCF: Multimodal Collaborative Filtering for Automatic Playlist Continuation.,RecSys Challenge,11:1-11:6,2018,Conference and Workshop Papers,closed,10.1145/3267471.3267482
250,Intuitive event modeling for personalized behavior monitoring.,ICPR,1-4,2008,Conference and Workshop Papers,closed,10.1109/ICPR.2008.4761027
251,Keeping Dataset Biases out of the Simulation: A Debiased Simulator for Reinforcement Learning based Recommender Systems.,RecSys,190-199,2020,Conference and Workshop Papers,closed,10.1145/3383313.3412252
252,Recommender Systems: Models and Techniques.,Encyclopedia of Social Network Analysis and Mining,1511-1522,2014,Reference Works,closed,10.1007/978-1-4614-6170-8_88
253,A Comparative Evaluation of User Preferences for Extra-User Interfaces.,Int. J. Hum. Comput. Interact.,760-767,2012,Journal Articles,closed,10.1080/10447318.2012.715544
254,Context-Aware Recommender Systems Based on Item-Grain Context Clustering.,Australasian Conference on Artificial Intelligence,3-13,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-63004-5_1
255,Personalized and content adaptive cultural heritage path recommendation: an application to the Gournia and Çatalhöyük archaeological sites.,User Model. User Adapt. Interact.,201-238,2019,Journal Articles,closed,10.1007/S11257-019-09227-6
256,Users' Experience with a Recommender System in an Open Source Standard-Based Learning Management System.,USAB,185-204,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-89350-9_14
257,Annotations and Collaborative Work: A Corporate Approach.,IWAC,133-142,2005,Conference and Workshop Papers,unavailable,
258,Consideration of Partial User Preferences in Evolutionary Multiobjective Optimization.,Multiobjective Optimization,157-178,2008,Conference and Workshop Papers,closed,10.1007/978-3-540-88908-3_6
259,User Audit Model Based on Attribute Measurement and Similarity Measurement.,Secur. Commun. Networks,8387672:1-8387672:9,2020,Journal Articles,open,10.1155/2020/8387672
260,Collaborative Learning in MOOCs Approaches and Experiments.,FIE,1-9,2018,Conference and Workshop Papers,closed,10.1109/FIE.2018.8659340
261,Data Base Retrieval System (DBRS) a personalized data base system for the APL user.,APL,267-283,1976,Conference and Workshop Papers,closed,10.1145/800114.803687
262,"A novel hybrid approach for product concept evaluation based on rough numbers, shannon entropy and TOPSIS-PSI.",J. Intell. Fuzzy Syst.,12087-12099,2021,Journal Articles,closed,10.3233/JIFS-210184
263,Recommender System Framework for Academic Choices: Personality Based Recommendation Engine (PBRE).,IRI,476-483,2016,Conference and Workshop Papers,closed,10.1109/IRI.2016.70
264,Refined co-SVD Recommender Algorithm: Data Processing and Performance Metrics.,ICPRAM,668-674,2022,Conference and Workshop Papers,closed,10.5220/0010887500003122
265,Dynamic updating of online recommender systems via feed-forward controllers.,SEAMS,11-19,2011,Conference and Workshop Papers,closed,10.1145/1988008.1988011
